11/2023,5.400,5.418,5.337,5.401
11/2023,5.400,5.418,5.337,5.396
10/2023,5.373,5.445,5.358,5.400
09/2023,5.388,5.412,5.296,5.373
08/2023,5.375,5.410,5.308,5.388
07/2023,5.137,5.392,5.134,5.375
06/2023,5.164,5.224,4.938,5.137
05/2023,4.186,5.755,4.109,5.164
04/2023,4.577,4.696,3.145,4.186
03/2023,4.596,4.711,3.665,4.577
02/2023,4.527,4.639,4.437,4.596
01/2023,3.997,4.575,3.953,4.527
12/2022,3.965,4.087,3.455,3.997
11/2022,5.400,5.418,5.337,3.965
10/2022,5.373,5.445,5.358,3.627
09/2022,5.388,5.412,5.296,2.685
08/2022,5.375,5.410,5.308,2.172
07/2022,5.137,5.392,5.134,2.151
06/2022,5.164,5.224,4.938,1.025
05/2022,4.186,5.755,4.109,0.725
04/2022,4.577,4.696,3.145,0.330
03/2022,4.596,4.711,3.665,0.123
02/2022,4.527,4.639,4.437,0.060
01/2022,3.997,4.575,3.953,0.040
12/2021,3.965,4.087,3.455,0.025
11/2021,0.063,0.132,0.033,0.113
10/2021,0.055,0.208,0.003,0.063
09/2021,0.035,0.0840.010,0.045
08/2021,0.045,0.056,0.005,0.036
07/2021,0.040,0.058,0.023,0.046
06/2021,0.010,0.061,-0.003,0.041
05/2021,0.010,0.030,-0.005,0.003
04/2021,0.015,0.036,-0.003,0.010
