,Date,Energy,High,Low,Close,Adj Close,Volume
0,2021-04-01,105.260002,107.650002,100.139999,103.07,92.243469,175170000
1,2021-05-01,103.980003,113.110001,101.970001,103.790001,92.88784,209434500
2,2021-06-01,105.300003,110.510002,96.309998,104.739998,94.885475,224064300
3,2021-07-01,106.949997,107.099998,94.519997,101.809998,92.231148,205695700
4,2021-08-01,102.080002,103.980003,92.860001,96.769997,87.665344,213430100
5,2021-09-01,96.860001,104.889999,93.309998,101.449997,93.144089,250488400
6,2021-10-01,102.220001,115.290001,101.879997,114.489998,105.116486,211811800
7,2021-11-01,115.029999,118.080002,111.099998,112.870003,103.62912,225299300
8,2021-12-01,114.949997,119.339996,110.730003,117.349998,108.987587,221103300
9,2022-01-01,117.419998,137.0,117.290001,131.330002,121.971375,300811900
10,2022-02-01,130.830002,144.0,130.509995,144.0,133.738525,282878000
11,2022-03-01,145.009995,174.759995,144.699997,162.830002,152.814407,527470800
12,2022-04-01,162.779999,174.539993,151.360001,156.669998,147.033295,200222700
13,2022-05-01,156.309998,180.960007,155.149994,174.660004,163.916748,235066100
14,2022-06-01,176.729996,182.399994,140.149994,144.779999,136.992447,251787200
15,2022-07-01,146.600006,164.660004,132.539993,163.779999,154.970459,174434600
16,2022-08-01,161.179993,166.830002,149.020004,158.059998,149.558121,185488300
17,2022-09-01,156.479996,164.529999,140.460007,143.669998,137.177353,224045100
18,2022-10-01,148.970001,183.839996,148.300003,180.899994,172.724884,177673800
19,2022-11-01,183.869995,189.679993,175.820007,183.309998,175.025955,161679400
20,2022-12-01,184.259995,184.550003,167.100006,179.490005,172.7043,159616000
21,2023-01-01,178.039993,187.809998,170.850006,174.020004,167.441086,181801800
22,2023-02-01,173.309998,174.389999,158.910004,160.770004,154.692017,165049000
23,2023-03-01,160.919998,166.800003,149.910004,163.160004,158.379501,205951500
24,2023-04-01,169.800003,172.880005,164.050003,168.580002,163.640686,130960700
25,2023-05-01,167.710007,168.729996,150.360001,150.619995,146.206909,164361500
26,2023-06-01,151.300003,160.770004,149.740005,157.350006,154.235428,180570300
27,2023-07-01,157.179993,164.039993,151.630005,163.660004,160.420532,137322600
28,2023-08-01,163.639999,164.25,156.220001,161.100006,157.911194,165265800
29,2023-09-01,162.639999,171.699997,162.639999,168.619995,166.870773,153032400
30,2023-10-01,168.339996,170.169998,143.960007,145.729996,144.218231,225453300
31,2023-11-01,145.979996,149.330002,140.720001,144.360001,142.862457,186663700
32,2023-11-28,144.779999,146.519897,144.080002,145.509995,145.509995,7781686
