,Date,Consumer Discretionary,High,Low,Close,Adj Close,Volume
0,2021-04-01,102.32,106.400002,98.379997,103.599998,99.592796,39790000
1,2021-05-01,104.809998,110.610001,92.440002,99.010002,95.409698,45300000
2,2021-06-01,100.089996,101.389999,90.529999,99.349998,95.73732,63983300
3,2021-07-01,99.449997,107.519997,94.07,105.150002,101.326416,45025900
4,2021-08-01,106.290001,110.139999,102.32,107.309998,103.668747,30442400
5,2021-09-01,107.620003,109.949997,93.660004,93.68,90.501244,50298700
6,2021-10-01,94.410004,104.07,91.279999,99.93,96.539162,50581300
7,2021-11-01,100.07,114.389999,99.129997,105.050003,101.754539,34774600
8,2021-12-01,109.230003,117.540001,103.419998,116.160004,112.516006,57864400
9,2022-01-01,115.839996,116.360001,89.099998,96.110001,93.094986,64848800
10,2022-02-01,97.019997,97.900002,79.519997,89.879997,87.395012,47825600
11,2022-03-01,90.239998,93.110001,81.089996,81.169998,78.925827,68739300
12,2022-04-01,82.269997,83.209999,73.010002,76.489998,74.375214,58167700
13,2022-05-01,76.360001,83.629997,70.559998,80.25,78.413239,53474600
14,2022-06-01,80.699997,81.419998,62.540001,70.57,68.954788,61912100
15,2022-07-01,71.120003,85.800003,71.120003,85.0,83.054527,57929300
16,2022-08-01,84.989998,89.309998,77.440002,77.449997,76.045807,57298800
17,2022-09-01,76.769997,81.730003,72.480003,74.550003,73.198387,58364900
18,2022-10-01,75.860001,82.169998,69.900002,80.699997,79.236877,46912900
19,2022-11-01,82.529999,90.0,76.790001,87.830002,86.653374,45925700
20,2022-12-01,88.949997,95.239998,84.510002,90.5,89.287598,48815200
21,2023-01-01,91.690002,102.629997,90.739998,102.400002,101.028175,42465500
22,2023-02-01,102.209999,109.279999,94.32,96.739998,95.80677,40674200
23,2023-03-01,96.110001,106.129997,94.110001,105.110001,104.096024,59313000
24,2023-04-01,104.459999,113.900002,100.949997,112.809998,111.721741,32410900
25,2023-05-01,112.5,116.18,105.900002,107.120003,106.442619,41781300
26,2023-06-01,106.110001,127.080002,106.110001,125.309998,124.517578,63399200
27,2023-07-01,125.709999,133.240005,119.620003,126.830002,126.027977,39590300
28,2023-08-01,126.190002,127.540001,112.18,119.089996,118.69503,47295300
29,2023-09-01,119.620003,121.519997,110.0,112.230003,111.857788,48697000
30,2023-10-01,111.419998,114.989998,102.900002,106.68,106.326195,43886400
31,2023-11-01,106.660004,131.270004,105.739998,126.839996,126.839996,30919000
32,2023-11-28,126.459999,127.120003,125.551903,126.059998,126.059998,1230586
