,Date,Health Care,High,Low,Close,Adj Close,Volume
0,2021-04-01,193.25,203.160004,188.630005,197.139999,174.277359,46436000
1,2021-05-01,197.990005,208.949997,196.660004,203.039993,179.493118,38086100
2,2021-06-01,204.979996,206.809998,191.529999,198.630005,176.886688,51315200
3,2021-07-01,199.449997,203.210007,194.759995,197.940002,176.272232,46026800
4,2021-08-01,199.070007,202.770004,192.720001,194.740005,173.422501,39822800
5,2021-09-01,194.550003,195.610001,175.369995,175.419998,157.409897,67361300
6,2021-10-01,176.25,183.820007,173.779999,178.679993,160.33519,48240300
7,2021-11-01,178.529999,186.300003,169.940002,170.039993,152.582245,47901700
8,2021-12-01,172.550003,179.179993,169.179993,177.630005,160.69017,48332100
9,2022-01-01,178.320007,181.779999,160.539993,166.020004,150.187347,62345600
10,2022-02-01,165.589996,169.25,139.740005,148.649994,134.473862,76136400
11,2022-03-01,148.580002,153.259995,140.830002,148.880005,135.983856,82899900
12,2022-04-01,149.630005,153.100006,142.869995,144.220001,131.727478,53719900
13,2022-05-01,144.509995,154.660004,141.0,149.289993,136.358337,61814100
14,2022-06-01,149.330002,149.490005,127.300003,129.410004,119.394867,63792000
15,2022-07-01,129.410004,145.699997,125.599998,143.240005,132.154572,67099300
16,2022-08-01,142.149994,152.300003,123.029999,124.349998,114.726463,305095600
17,2022-09-01,124.300003,126.519997,110.389999,110.5,102.994568,241792900
18,2022-10-01,111.690002,126.669998,107.07,125.790001,117.246025,72887800
19,2022-11-01,126.769997,133.910004,121.120003,125.970001,117.413811,52505200
20,2022-12-01,127.300003,130.020004,117.800003,119.919998,113.083534,59159600
21,2023-01-01,121.519997,129.899994,111.760002,115.080002,108.519455,76990600
22,2023-02-01,114.550003,120.849998,106.760002,107.739998,101.597893,55805800
23,2023-03-01,111.040001,112.330002,100.160004,105.110001,100.430191,90558000
24,2023-04-01,105.150002,107.300003,101.050003,106.220001,101.490768,61856000
25,2023-05-01,106.339996,106.830002,93.190002,93.309998,89.155548,67698900
26,2023-06-01,93.470001,104.889999,92.379997,100.089996,97.087387,95057400
27,2023-07-01,100.199997,113.139999,95.57,111.5,108.155098,78742000
28,2023-08-01,111.5,111.919998,97.699997,106.669998,103.469994,73372700
29,2023-09-01,107.300003,108.800003,92.410004,93.620003,92.169579,75253600
30,2023-10-01,92.650002,92.830002,85.349998,90.949997,89.540939,83621000
31,2023-11-01,91.160004,97.459999,89.57,97.07,95.566124,53882100
32,2023-11-28,96.919998,99.099998,96.540001,98.510002,98.510002,3668899
