,Date,Technology,High,Low,Close,Adj Close,Volume
0,2021-04-01,238.470001,263.190002,238.050003,252.179993,246.150177,568661600
1,2021-05-01,253.399994,254.350006,238.070007,249.679993,243.70993,495084900
2,2021-06-01,251.229996,271.649994,243.0,270.899994,265.033112,508572200
3,2021-07-01,269.609985,290.149994,269.600006,284.910004,278.739807,522672700
4,2021-08-01,286.359985,305.839996,283.73999,301.880005,295.342255,441308900
5,2021-09-01,302.869995,305.320007,281.619995,281.920013,276.342529,502918700
6,2021-10-01,282.119995,332.0,280.25,331.619995,325.059265,516515800
7,2021-11-01,331.359985,349.670013,326.369995,330.589996,324.049652,509885200
8,2021-12-01,335.130005,344.299988,317.25,336.320007,330.269409,625674800
9,2022-01-01,335.350006,338.0,276.049988,310.980011,305.385284,947531400
10,2022-02-01,310.410004,315.119995,271.519989,298.790009,293.414612,697050600
11,2022-03-01,296.399994,315.950012,270.0,308.309998,303.389374,734334200
12,2022-04-01,309.369995,315.109985,270.0,277.519989,273.090759,627343400
13,2022-05-01,277.709991,290.880005,246.440002,271.869995,267.530914,742902000
14,2022-06-01,275.200012,277.690002,241.509995,256.829987,253.319611,621372300
15,2022-07-01,256.390015,282.0,245.940002,280.73999,276.902802,534891800
16,2022-08-01,277.820007,294.179993,260.660004,261.470001,257.896179,477157600
17,2022-09-01,258.869995,267.450012,232.729996,232.899994,230.204285,575586600
18,2022-10-01,235.410004,251.039993,219.130005,232.130005,229.443192,671225100
19,2022-11-01,234.600006,255.330002,213.429993,255.139999,252.186874,615296000
20,2022-12-01,253.869995,263.920013,233.869995,239.820007,237.712234,591358700
21,2023-01-01,243.080002,249.830002,219.350006,247.809998,245.632004,666168100
22,2023-02-01,248.0,276.76001,245.470001,249.419998,247.227859,615501000
23,2023-03-01,250.759995,289.269989,245.610001,288.299988,286.481903,747635000
24,2023-04-01,286.519989,308.929993,275.369995,307.26001,305.322357,551497100
25,2023-05-01,306.970001,335.940002,303.399994,328.390015,326.319061,600807200
26,2023-06-01,325.929993,351.470001,322.5,340.540009,339.132202,547588700
27,2023-07-01,339.190002,366.779999,327.0,335.920013,334.531311,666764400
28,2023-08-01,335.190002,338.540009,311.549988,327.76001,326.40506,479456700
29,2023-09-01,331.309998,340.859985,309.450012,315.75,315.110443,416680700
30,2023-10-01,316.279999,346.200012,311.209991,338.109985,337.42514,540907000
31,2023-11-01,339.790009,380.640015,339.649994,378.609985,377.843109,483882200
32,2023-11-28,378.350006,383.0,378.160004,382.700012,382.700012,19835227
