,Date,Health Care,High,Low,Close,Adj Close,Volume
0,2021-04-01,88.419998,95.599998,87.330002,95.0,83.317879,98505100
1,2021-05-01,95.510002,98.620003,94.599998,96.43,84.572037,73544100
2,2021-06-01,97.010002,100.949997,96.080002,99.110001,86.922478,126994000
3,2021-07-01,99.209999,100.629997,93.940002,100.089996,88.84761,79065300
4,2021-08-01,100.639999,103.629997,98.580002,103.0,91.430756,58859900
5,2021-09-01,103.150002,106.510002,94.370003,94.790001,84.142921,99487600
6,2021-10-01,95.169998,99.730003,94.309998,94.540001,84.956955,83388600
7,2021-11-01,94.639999,95.940002,85.639999,85.940002,77.228699,93041900
8,2021-12-01,86.980003,95.190002,86.660004,95.0,85.370331,119504000
9,2022-01-01,94.889999,103.75,94.440002,102.849998,93.68325,125873900
10,2022-02-01,102.900002,112.480003,100.07,101.07,92.06189,136148700
11,2022-03-01,101.07,103.489998,88.370003,93.940002,85.567375,162874600
12,2022-04-01,94.959999,105.739998,94.589996,100.0,92.319511,111504700
13,2022-05-01,101.389999,109.809998,96.489998,106.25,98.089485,123765000
14,2022-06-01,106.480003,107.720001,96.260002,98.739998,91.156273,117798200
15,2022-07-01,98.650002,99.959999,88.269997,97.150002,90.813782,100536300
16,2022-08-01,97.449997,102.190002,95.18,95.489998,89.262039,75677300
17,2022-09-01,95.449997,98.230003,82.849998,83.010002,77.596008,100500800
18,2022-10-01,84.169998,93.139999,83.739998,91.849998,87.086006,99196300
19,2022-11-01,92.260002,99.879997,88.169998,99.669998,94.50042,78522100
20,2022-12-01,100.059998,104.309998,99.5,101.209999,95.960541,130404600
21,2023-01-01,101.510002,104.589996,98.650002,104.239998,100.092972,94519600
22,2023-02-01,104.5,105.620003,96.540001,97.300003,93.429077,71764000
23,2023-03-01,99.0,100.529999,90.080002,97.25,93.381065,125615800
24,2023-04-01,97.220001,101.919998,95.959999,99.970001,97.283875,71792800
25,2023-05-01,99.75,100.790001,89.089996,90.010002,87.591484,96442700
26,2023-06-01,90.139999,98.209999,89.580002,97.620003,94.997017,94299900
27,2023-07-01,98.0,100.699997,95.809998,99.720001,98.336769,89836100
28,2023-08-01,100.0,100.160004,92.870003,96.059998,94.727539,61670900
29,2023-09-01,96.739998,98.519997,90.07,92.580002,91.295815,86471400
30,2023-10-01,92.300003,95.389999,87.230003,89.160004,89.160004,93297400
31,2023-11-01,89.559998,94.410004,88.540001,94.050003,94.050003,79984200
32,2023-11-28,94.07,94.490196,93.550003,94.150002,94.150002,2379675
