,Date,Consumer Discretionary,High,Low,Close,Adj Close,Volume
0,2021-04-01,248.039993,277.859985,245.699997,262.290009,262.290009,133213000
1,2021-05-01,265.059998,265.799988,233.610001,260.019989,260.019989,156470200
2,2021-06-01,261.079987,296.01001,256.149994,291.480011,291.480011,131228000
3,2021-07-01,290.329987,310.160004,274.209991,275.529999,275.529999,134076000
4,2021-08-01,276.88501,292.649994,266.602997,288.660004,288.660004,134851500
5,2021-09-01,290.100006,296.700012,256.890015,260.209991,260.209991,118288800
6,2021-10-01,261.454987,273.51001,231.710007,232.589996,232.589996,250443900
7,2021-11-01,232.699997,233.550003,180.5,184.889999,184.889999,434862600
8,2021-12-01,187.770004,197.690002,179.149994,188.580002,188.580002,276431400
9,2022-01-01,191.410004,196.100006,152.080002,171.940002,171.940002,285485800
10,2022-02-01,172.770004,176.199997,94.5,111.93,111.93,671591400
11,2022-03-01,112.730003,122.809998,92.25,115.650002,115.650002,434443300
12,2022-04-01,116.0,122.917999,82.120003,87.93,87.93,372294900
13,2022-05-01,87.550003,92.849998,71.831001,85.209999,85.209999,380219000
14,2022-06-01,85.470001,89.32,67.580002,69.839996,69.839996,318416300
15,2022-07-01,69.839996,87.620003,68.510002,86.529999,86.529999,263032100
16,2022-08-01,87.050003,103.029999,85.269997,93.440002,93.440002,340392900
17,2022-09-01,92.251999,99.300003,84.129997,86.07,86.07,265398400
18,2022-10-01,87.529999,95.57,79.349998,83.580002,83.580002,275597700
19,2022-11-01,85.0,92.620003,71.167999,78.410004,78.410004,344025000
20,2022-12-01,79.110001,80.746002,66.385002,71.220001,71.220001,325143000
21,2023-01-01,73.690002,82.535004,73.379997,81.489998,81.489998,255378400
22,2023-02-01,81.339996,88.625,72.980003,73.599998,73.599998,288549100
23,2023-03-01,73.629997,79.264999,71.085999,75.940002,75.940002,276006500
24,2023-04-01,75.625,77.949997,71.029999,76.0,76.0,181555300
25,2023-05-01,76.029999,76.5,58.950001,61.990002,61.990002,491436900
26,2023-06-01,62.41,69.199997,61.830002,66.730003,66.730003,392576100
27,2023-07-01,67.120003,76.540001,65.629997,75.82,75.82,266592700
28,2023-08-01,76.190002,76.279999,57.290001,62.509998,62.509998,423860400
29,2023-09-01,63.130001,65.730003,56.529999,58.459999,58.459999,264905000
30,2023-10-01,58.619999,59.639999,50.25,51.799999,51.799999,311679500
31,2023-11-01,51.91,58.555,51.095001,56.389999,56.389999,279737300
32,2023-11-28,56.470001,58.700001,56.130001,58.470001,58.470001,23627832
