,Date,Consumer Discretionary,High,Low,Close,Adj Close,Volume
0,2021-04-01,110.059998,118.980003,108.199997,114.489998,108.211563,127018100
1,2021-05-01,115.18,116.739998,108.879997,113.879997,107.635017,113824900
2,2021-06-01,114.559998,114.620003,109.260002,111.809998,106.098999,106401000
3,2021-07-01,111.949997,126.32,111.809998,121.43,115.227646,123985300
4,2021-08-01,122.029999,122.980003,113.610001,117.489998,111.488892,114457400
5,2021-09-01,118.010002,120.760002,110.309998,110.309998,105.081902,115995300
6,2021-10-01,110.889999,115.57,104.019997,106.07,101.042854,133499300
7,2021-11-01,107.230003,117.470001,107.199997,109.639999,104.443649,161726300
8,2021-12-01,110.959999,117.480003,106.610001,116.970001,111.9067,136705300
9,2022-01-01,116.470001,117.800003,93.790001,98.32,94.064011,218687500
10,2022-02-01,98.419998,99.150002,87.25,91.790001,87.816666,161930700
11,2022-03-01,91.489998,93.5,78.919998,90.970001,87.473457,250082300
12,2022-04-01,91.5,91.889999,74.480003,74.639999,71.771111,195076200
13,2022-05-01,75.25,82.870003,68.389999,78.5,75.482758,291830700
14,2022-06-01,78.75,81.300003,70.349998,76.389999,73.971207,181502100
15,2022-07-01,76.730003,84.980003,75.730003,84.779999,82.095543,118099000
16,2022-08-01,84.190002,89.93,82.690002,84.07,81.408035,129834700
17,2022-09-01,83.699997,93.480003,81.669998,84.260002,82.056915,203634100
18,2022-10-01,84.75,90.900002,82.43,86.589996,84.325981,158234200
19,2022-11-01,88.059998,102.559998,82.970001,102.199997,99.527824,162097000
20,2022-12-01,102.330002,105.540001,96.169998,99.199997,97.161484,130721000
21,2023-01-01,100.559998,109.760002,99.470001,109.139999,106.897217,128337100
22,2023-02-01,108.970001,110.830002,100.82,102.089996,99.992096,123053800
23,2023-03-01,102.190002,105.940002,97.190002,104.129997,102.501228,132244900
24,2023-04-01,104.059998,114.309998,103.07,114.290001,112.502319,96625800
25,2023-05-01,114.25,115.480003,96.980003,97.639999,96.11274,157232900
26,2023-06-01,97.589996,102.510002,96.519997,99.059998,97.996063,151098200
27,2023-07-01,98.730003,103.769997,95.550003,101.57,100.479111,131318200
28,2023-08-01,101.470001,104.459999,93.709999,97.440002,96.393471,127061000
29,2023-09-01,98.400002,98.75,90.209999,91.269997,90.771202,113122400
30,2023-10-01,91.050003,95.660004,89.209999,92.239998,91.735901,127987600
31,2023-11-01,91.830002,107.660004,90.550003,102.360001,101.800598,159493000
32,2023-11-28,101.959999,102.040001,100.889999,101.18,101.18,6842342
