,Date,Consumer Discretionary,High,Low,Close,Adj Close,Volume
0,2021-04-01,213.779999,237.5,212.300003,233.559998,228.930984,152922100
1,2021-05-01,234.050003,235.740005,220.309998,227.300003,222.79509,127246900
2,2021-06-01,229.440002,238.479996,226.279999,233.820007,229.518738,151648800
3,2021-07-01,234.199997,252.669998,234.050003,246.389999,241.857529,157826600
4,2021-08-01,246.240005,247.830002,228.660004,229.100006,224.88559,148466700
5,2021-09-01,229.100006,233.330002,216.309998,222.75,218.95047,175607200
6,2021-10-01,224.169998,236.960007,208.539993,211.770004,208.157761,170233200
7,2021-11-01,213.490005,221.610001,192.550003,193.770004,190.464783,303953900
8,2021-12-01,196.029999,219.729996,190.100006,216.710007,213.388458,189052700
9,2022-01-01,217.520004,228.119995,195.649994,226.169998,222.703476,224953600
10,2022-02-01,226.899994,235.850006,201.449997,216.119995,212.80751,171774200
11,2022-03-01,214.479996,228.809998,186.669998,221.770004,218.726181,189035000
12,2022-04-01,223.080002,229.240005,201.100006,213.130005,210.204773,151953800
13,2022-05-01,211.770004,214.800003,189.949997,212.169998,209.257965,171890700
14,2022-06-01,212.050003,217.580002,185.910004,196.889999,194.558548,128101400
15,2022-07-01,196.789993,218.070007,194.139999,212.110001,209.598343,118583600
16,2022-08-01,208.449997,217.610001,198.639999,198.710007,196.357025,130178300
17,2022-09-01,198.720001,207.190002,174.830002,177.649994,175.8573,142721400
18,2022-10-01,179.339996,211.520004,174.600006,207.160004,205.069519,160725600
19,2022-11-01,208.910004,217.0,193.330002,217.0,214.810226,157867300
20,2022-12-01,217.0,219.979996,202.130005,207.759995,206.123154,136789100
21,2023-01-01,209.279999,232.839996,206.160004,230.210007,228.396286,127618800
22,2023-02-01,229.369995,234.300003,217.460007,219.940002,218.207199,94454300
23,2023-03-01,219.460007,227.419998,208.759995,225.460007,224.121826,167770500
24,2023-04-01,225.229996,235.570007,224.119995,232.729996,231.348663,119559700
25,2023-05-01,232.869995,234.809998,216.139999,221.029999,219.718109,128249200
26,2023-06-01,222.729996,238.279999,221.020004,237.479996,236.530716,155900300
27,2023-07-01,237.0,245.369995,227.679993,237.729996,236.779709,113725300
28,2023-08-01,237.139999,248.229996,235.25,245.679993,244.697922,101034600
29,2023-09-01,247.470001,250.059998,227.919998,230.009995,229.521347,114036200
30,2023-10-01,229.240005,241.479996,227.779999,235.100006,234.600555,129129800
31,2023-11-01,236.139999,254.979996,235.679993,254.139999,253.600098,114231500
32,2023-11-28,253.850006,254.149994,251.610001,252.940002,252.940002,5169037
