,Date,Utilities,High,Low,Close,Adj Close,Volume
0,2021-04-01,129.25,138.559998,127.940002,137.970001,132.451874,31399000
1,2021-05-01,138.720001,144.539993,137.619995,140.679993,135.053436,28854700
2,2021-06-01,141.419998,141.5,136.970001,140.110001,134.506256,25794700
3,2021-07-01,141.699997,149.949997,140.639999,148.259995,142.912582,26533500
4,2021-08-01,148.699997,155.619995,146.610001,155.110001,149.515518,26542400
5,2021-09-01,154.550003,156.740005,149.279999,149.360001,143.9729,31898100
6,2021-10-01,149.720001,164.820007,147.529999,160.229996,155.022781,34462200
7,2021-11-01,160.919998,168.039993,158.539993,160.669998,155.448547,32753100
8,2021-12-01,161.979996,167.610001,157.610001,166.899994,161.476028,34910000
9,2022-01-01,166.470001,166.630005,144.050003,150.440002,146.074265,45488600
10,2022-02-01,150.5,151.25,138.580002,144.399994,140.209549,41655600
11,2022-03-01,144.309998,161.179993,144.059998,158.5,153.90036,43623800
12,2022-04-01,158.429993,170.179993,153.149994,164.440002,160.33963,35882600
13,2022-05-01,163.600006,164.899994,150.289993,158.509995,154.55751,42235400
14,2022-06-01,159.070007,160.190002,138.889999,152.979996,149.165405,33487600
15,2022-07-01,152.940002,166.899994,148.710007,164.559998,161.117233,27603600
16,2022-08-01,163.910004,175.979996,162.149994,169.029999,165.493744,32971400
17,2022-09-01,169.210007,174.740005,160.089996,160.210007,156.858261,40501600
18,2022-10-01,161.619995,169.259995,151.220001,158.369995,155.639069,38421900
19,2022-11-01,159.050003,167.720001,153.869995,167.720001,164.827835,36575300
20,2022-12-01,168.649994,170.699997,154.429993,156.880005,154.174774,31765500
21,2023-01-01,157.410004,161.720001,149.119995,154.729996,152.653442,33027700
22,2023-02-01,150.100006,155.660004,148.550003,149.759995,147.750153,36160600
23,2023-03-01,149.440002,163.429993,148.309998,163.169998,160.980179,45673100
24,2023-04-01,162.809998,167.460007,157.899994,166.050003,164.590134,33966400
25,2023-05-01,165.809998,171.100006,160.220001,161.919998,160.496445,29900200
26,2023-06-01,161.809998,173.710007,160.259995,173.419998,171.895325,29168200
27,2023-07-01,172.229996,173.199997,161.740005,163.789993,163.054901,31271200
28,2023-08-01,164.240005,166.339996,156.380005,156.779999,156.076355,28491200
29,2023-09-01,157.419998,161.949997,152.110001,152.440002,151.755844,28372700
30,2023-10-01,152.820007,165.020004,149.710007,164.330002,164.330002,36091000
31,2023-11-01,164.070007,172.820007,162.339996,171.479996,171.479996,25520000
32,2023-11-28,171.350006,171.399994,169.479996,169.679993,169.679993,1763582
